AreaID,AreaName,fld01,fld02,fld03,fld05,fld06,fld04,fld08,fld07,fld10,date,animal,city,update_date
320,320中壢區,2,6,0,9,7,0,0,0,0,2025/11/05,0,C,2025/11/06
324,324平鎮區,1,1,0,7,2,0,0,0,0,2025/11/05,0,C,2025/11/06
325,325龍潭區,0,2,0,3,2,2,0,0,0,2025/11/05,0,C,2025/11/06
326,326楊梅區,0,4,0,3,0,3,0,0,0,2025/11/05,0,C,2025/11/06
327,327新屋區,0,0,0,0,0,0,0,0,0,2025/11/05,0,C,2025/11/06
328,328觀音區,0,0,0,1,3,0,0,0,0,2025/11/05,0,C,2025/11/06
330,330桃園區,3,8,0,12,5,3,0,0,0,2025/11/05,0,C,2025/11/06
333,333龜山區,0,8,0,10,5,0,0,0,0,2025/11/05,0,C,2025/11/06
334,334八德區,1,1,0,7,3,0,0,0,0,2025/11/05,0,C,2025/11/06
335,335大溪區,0,3,0,5,0,0,0,0,0,2025/11/05,0,C,2025/11/06
336,336復興區,0,0,0,0,0,0,0,0,0,2025/11/05,0,C,2025/11/06
337,337大園區,0,1,0,1,4,1,0,0,0,2025/11/05,0,C,2025/11/06
338,338蘆竹區,0,2,0,4,0,1,0,0,0,2025/11/05,0,C,2025/11/06
320,320中壢區,3,7,0,9,7,5,0,0,0,2025/11/05,1,C,2025/11/06
324,324平鎮區,3,7,0,3,2,7,0,0,0,2025/11/05,1,C,2025/11/06
325,325龍潭區,1,1,0,0,3,1,0,0,0,2025/11/05,1,C,2025/11/06
326,326楊梅區,3,5,0,3,1,4,0,0,0,2025/11/05,1,C,2025/11/06
327,327新屋區,1,0,0,0,0,0,0,0,0,2025/11/05,1,C,2025/11/06
328,328觀音區,0,0,0,1,0,0,0,0,0,2025/11/05,1,C,2025/11/06
330,330桃園區,8,4,0,18,13,3,0,0,0,2025/11/05,1,C,2025/11/06
333,333龜山區,2,5,0,2,3,4,0,0,0,2025/11/05,1,C,2025/11/06
334,334八德區,3,4,0,1,4,4,0,0,0,2025/11/05,1,C,2025/11/06
335,335大溪區,0,0,0,1,1,0,0,0,0,2025/11/05,1,C,2025/11/06
336,336復興區,0,0,0,0,0,0,0,0,0,2025/11/05,1,C,2025/11/06
337,337大園區,1,2,0,3,0,1,0,0,0,2025/11/05,1,C,2025/11/06
338,338蘆竹區,3,6,0,1,2,4,0,0,0,2025/11/05,1,C,2025/11/06
